rank,file_path,label,selection_score,dataset,train_idxs,test_idx,num_ood_samples
1,camelyon17_v1.0/patches/patient_086_node_0/patch_patient_086_node_0_x_29856_y_8032.png,0,0.9999822891206492,WILDSCamelyon,0-1-2,4,750
2,camelyon17_v1.0/patches/patient_092_node_1/patch_patient_092_node_1_x_25536_y_10784.png,0,0.9999810910519976,WILDSCamelyon,0-1-2,4,750
3,camelyon17_v1.0/patches/patient_092_node_1/patch_patient_092_node_1_x_31648_y_17600.png,1,0.999980625213574,WILDSCamelyon,0-1-2,4,750
4,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_6592_y_18944.png,0,0.9999795436230166,WILDSCamelyon,0-1-2,4,750
5,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_19328_y_4384.png,1,0.9999783370677012,WILDSCamelyon,0-1-2,4,750
6,camelyon17_v1.0/patches/patient_089_node_3/patch_patient_089_node_3_x_25056_y_4448.png,0,0.9999775056687744,WILDSCamelyon,0-1-2,4,750
7,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_32224_y_9408.png,1,0.9999761551173812,WILDSCamelyon,0-1-2,4,750
8,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_14464_y_9216.png,0,0.999970191685887,WILDSCamelyon,0-1-2,4,750
9,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_6880_y_4672.png,0,0.99996704977089,WILDSCamelyon,0-1-2,4,750
10,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_23552_y_7264.png,1,0.9999624743302944,WILDSCamelyon,0-1-2,4,750
11,camelyon17_v1.0/patches/patient_081_node_4/patch_patient_081_node_4_x_23008_y_3008.png,0,0.9999621229958094,WILDSCamelyon,0-1-2,4,750
12,camelyon17_v1.0/patches/patient_087_node_0/patch_patient_087_node_0_x_4064_y_10368.png,0,0.9999609548941852,WILDSCamelyon,0-1-2,4,750
13,camelyon17_v1.0/patches/patient_086_node_4/patch_patient_086_node_4_x_17248_y_11936.png,0,0.9999606238961428,WILDSCamelyon,0-1-2,4,750
14,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_25568_y_3872.png,1,0.9999581119938054,WILDSCamelyon,0-1-2,4,750
15,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_32128_y_5632.png,1,0.9999572819923296,WILDSCamelyon,0-1-2,4,750
16,camelyon17_v1.0/patches/patient_080_node_1/patch_patient_080_node_1_x_19104_y_16896.png,0,0.9999529059556836,WILDSCamelyon,0-1-2,4,750
17,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_25504_y_4416.png,1,0.9999526358120916,WILDSCamelyon,0-1-2,4,750
18,camelyon17_v1.0/patches/patient_087_node_0/patch_patient_087_node_0_x_14656_y_14368.png,0,0.9999514565369796,WILDSCamelyon,0-1-2,4,750
19,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_38432_y_8448.png,1,0.9999502785891048,WILDSCamelyon,0-1-2,4,750
20,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_27296_y_10016.png,1,0.9999500264592937,WILDSCamelyon,0-1-2,4,750
21,camelyon17_v1.0/patches/patient_092_node_1/patch_patient_092_node_1_x_23744_y_9952.png,0,0.9999495881135008,WILDSCamelyon,0-1-2,4,750
22,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_34336_y_8960.png,1,0.9999467028211996,WILDSCamelyon,0-1-2,4,750
23,camelyon17_v1.0/patches/patient_086_node_4/patch_patient_086_node_4_x_15488_y_21440.png,0,0.9999460682792168,WILDSCamelyon,0-1-2,4,750
24,camelyon17_v1.0/patches/patient_087_node_0/patch_patient_087_node_0_x_13984_y_15232.png,0,0.9999444952492196,WILDSCamelyon,0-1-2,4,750
25,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_36128_y_5184.png,1,0.999943919843744,WILDSCamelyon,0-1-2,4,750
26,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_23296_y_10912.png,1,0.9999422224772612,WILDSCamelyon,0-1-2,4,750
27,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_34656_y_11328.png,1,0.999941757630946,WILDSCamelyon,0-1-2,4,750
28,camelyon17_v1.0/patches/patient_092_node_1/patch_patient_092_node_1_x_17760_y_6304.png,0,0.9999398297420208,WILDSCamelyon,0-1-2,4,750
29,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_26848_y_7008.png,1,0.9999391260903288,WILDSCamelyon,0-1-2,4,750
30,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_35680_y_4704.png,1,0.9999369084293236,WILDSCamelyon,0-1-2,4,750
31,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_24544_y_12576.png,1,0.9999351818977013,WILDSCamelyon,0-1-2,4,750
32,camelyon17_v1.0/patches/patient_092_node_1/patch_patient_092_node_1_x_31040_y_17856.png,1,0.9999344830267112,WILDSCamelyon,0-1-2,4,750
33,camelyon17_v1.0/patches/patient_081_node_4/patch_patient_081_node_4_x_18592_y_2528.png,0,0.9999337067387292,WILDSCamelyon,0-1-2,4,750
34,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_5248_y_19648.png,0,0.9999325479305884,WILDSCamelyon,0-1-2,4,750
35,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_34912_y_6240.png,1,0.9999290884683228,WILDSCamelyon,0-1-2,4,750
36,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_35008_y_3680.png,1,0.9999262293495488,WILDSCamelyon,0-1-2,4,750
37,camelyon17_v1.0/patches/patient_080_node_1/patch_patient_080_node_1_x_4896_y_19072.png,0,0.999925704878942,WILDSCamelyon,0-1-2,4,750
38,camelyon17_v1.0/patches/patient_086_node_0/patch_patient_086_node_0_x_1056_y_13280.png,0,0.9999228592626384,WILDSCamelyon,0-1-2,4,750
39,camelyon17_v1.0/patches/patient_092_node_1/patch_patient_092_node_1_x_33248_y_18240.png,1,0.9999209491475378,WILDSCamelyon,0-1-2,4,750
40,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_23232_y_12160.png,1,0.999920441403822,WILDSCamelyon,0-1-2,4,750
41,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_24576_y_12160.png,0,0.9999189799190886,WILDSCamelyon,0-1-2,4,750
42,camelyon17_v1.0/patches/patient_086_node_4/patch_patient_086_node_4_x_6400_y_21408.png,0,0.9999152879726226,WILDSCamelyon,0-1-2,4,750
43,camelyon17_v1.0/patches/patient_086_node_0/patch_patient_086_node_0_x_10016_y_12192.png,0,0.9999151435751228,WILDSCamelyon,0-1-2,4,750
44,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_20608_y_5376.png,1,0.999914964637716,WILDSCamelyon,0-1-2,4,750
45,camelyon17_v1.0/patches/patient_080_node_1/patch_patient_080_node_1_x_36672_y_11552.png,0,0.9999148170898016,WILDSCamelyon,0-1-2,4,750
46,camelyon17_v1.0/patches/patient_080_node_1/patch_patient_080_node_1_x_5664_y_8224.png,0,0.9999146794566328,WILDSCamelyon,0-1-2,4,750
47,camelyon17_v1.0/patches/patient_096_node_0/patch_patient_096_node_0_x_38272_y_8192.png,1,0.9999141322649754,WILDSCamelyon,0-1-2,4,750
48,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_21344_y_2240.png,1,0.999913185099678,WILDSCamelyon,0-1-2,4,750
49,camelyon17_v1.0/patches/patient_088_node_1/patch_patient_088_node_1_x_32384_y_12832.png,0,0.9999125899074968,WILDSCamelyon,0-1-2,4,750
50,camelyon17_v1.0/patches/patient_099_node_4/patch_patient_099_node_4_x_21216_y_3104.png,1,0.9999100089253288,WILDSCamelyon,0-1-2,4,750
